#TYPE Microsoft.PowerShell.Commands.TextMeasureInfo
"Lines","Words","Characters","Property"
"27",,,
"27",,,
"34",,,
"34",,,
"33",,,
"34",,,
"34",,,
"34",,,
"33",,,
"33",,,
"33",,,
"33",,,
"44",,,
"59",,,
"65",,,
"47",,,
"46",,,
"58",,,
"52",,,
"35",,,
"171",,,
"53",,,
"48",,,
"259",,,
"337",,,
"718",,,
"84",,,
"77",,,
"268",,,
"2465",,,
"97",,,
"1594",,,
"804",,,
"531",,,
"60",,,
"841",,,
"944",,,
"311",,,
"495",,,
"148",,,
"136",,,
"295",,,
"182",,,
"43",,,
"7027",,,
"6002",,,
"115",,,
"142",,,
"79",,,
"27",,,
"598",,,
"395",,,
"485",,,
"199",,,
"42",,,
"235",,,
"1074",,,
"269",,,
"47",,,
"51",,,
"189",,,
"194",,,
"737",,,
"49",,,
"87",,,
"757",,,
"75",,,
"48",,,
"102",,,
"328",,,
